Date,Roll_1Y,Roll_3Y,Roll_5Y
2011-04-25,,,
2011-04-26,,,
2011-04-27,,,
2011-04-28,,,
2011-04-29,,,
2011-05-02,,,
2011-05-03,,,
2011-05-04,,,
2011-05-05,,,
2011-05-06,,,
2011-05-09,,,
2011-05-10,,,
2011-05-11,,,
2011-05-12,,,
2011-05-13,,,
2011-05-16,,,
2011-05-17,,,
2011-05-18,,,
2011-05-19,,,
2011-05-20,,,
2011-05-23,,,
2011-05-24,,,
2011-05-25,,,
2011-05-26,,,
2011-05-27,,,
2011-05-30,-0.052852272813708856,,
2011-05-31,-0.07650652859091589,,
2011-06-01,-0.07194341298492679,,
2011-06-02,-0.047581679294921075,,
2011-06-03,-0.039253788528166744,,
2011-06-06,-0.059396975143174435,,
2011-06-07,-0.0750396938375606,,
2011-06-08,-0.06585275947192915,,
2011-06-09,-0.05024315865927642,,
2011-06-10,-0.03968674146817541,,
2011-06-13,-0.02744334987784769,,
2011-06-14,-0.0274242711038144,,
2011-06-15,-0.017499627926793604,,
2011-06-16,-0.002933217761472484,,
2011-06-17,-0.0003678354159635244,,
2011-06-20,0.03493958936756081,,
2011-06-21,0.029325034806865213,,
2011-06-22,0.034039043384818446,,
2011-06-23,0.027224598816401158,,
2011-06-24,0.0003193349149606117,,
2011-06-27,0.0040745190718269875,,
2011-06-28,-0.009750118158200483,,
2011-06-29,-0.00984171512835852,,
2011-06-30,-0.024787250893667956,,
2011-07-01,-0.02547596861503232,,
2011-07-04,-0.03234690790744077,,
2011-07-05,-0.0216035874145859,,
2011-07-06,-0.02770888930986004,,
2011-07-07,-0.03512020409637229,,
2011-07-08,-0.014545993182190298,,
2011-07-11,-0.004450378811305944,,
2011-07-12,0.013490753915862963,,
2011-07-13,-0.00015297106869649468,,
2011-07-14,-0.006412475838300846,,
2011-07-15,0.0008760339730604638,,
2011-07-18,0.0017212145478175955,,
2011-07-19,-0.007947660165644743,,
2011-07-20,0.006588192248694225,,
2011-07-21,0.01804704099307375,,
2011-07-22,0.001701081344871902,,
2011-07-25,-0.007356047530678866,,
2011-07-26,0.008518182309416367,,
2011-07-27,0.00801476892804931,,
2011-07-28,0.014877981247149563,,
2011-07-29,0.0201715717528943,,
2011-08-01,0.021051115164168244,,
2011-08-02,0.03245307744189685,,
2011-08-03,0.037659226475432184,,
2011-08-04,0.05100602516057673,,
2011-08-05,0.07039667158874041,,
2011-08-08,0.08803805100482398,,
2011-08-09,0.09658568477554041,,
2011-08-10,0.07809716154686042,,
2011-08-11,0.0841312962842895,,
2011-08-12,0.09363647756723148,,
2011-08-16,0.09987328411403718,,
2011-08-17,0.09882509817367857,,
2011-08-18,0.11295915427709569,,
2011-08-19,0.12463711735119654,,
2011-08-22,0.11507109028207951,,
2011-08-23,0.10589995581353151,,
2011-08-24,0.11042958019911342,,
2011-08-25,0.12083646402613035,,
2011-08-26,0.13728416065704585,,
2011-08-29,0.10891573006266042,,
2011-08-30,0.09995481158376807,,
2011-09-02,0.08478488127041695,,
2011-09-05,0.08758805748553111,,
2011-09-06,0.08041534873959677,,
2011-09-07,0.06598054386710628,,
2011-09-08,0.06513982971879706,,
2011-09-09,0.07903635815258281,,
2011-09-12,0.09877837619669927,,
2011-09-13,0.10290030611502576,,
2011-09-14,0.09862925992387928,,
2011-09-15,0.09042813400112992,,
2011-09-16,0.08851929298662553,,
2011-09-19,0.09653858673372095,,
2011-09-20,0.0818553921525007,,
2011-09-21,0.07759489254331187,,
2011-09-22,0.10853885761626514,,
2011-09-23,0.11631925759372064,,
2011-09-26,0.11880562586637644,,
2011-09-27,0.09385133176776184,,
2011-09-28,0.1049432321849968,,
2011-09-29,0.09878391675879317,,
2011-09-30,0.10831690676152284,,
2011-10-03,0.12065047089355252,,
2011-10-04,0.132518553925284,,
2011-10-05,0.13758608230381342,,
2011-10-07,0.12070448535119549,,
2011-10-10,0.10950314228134139,,
2011-10-11,0.10947355657295788,,
2011-10-12,0.08979837894026454,,
2011-10-13,0.09333869986277077,,
2011-10-14,0.08619284328616672,,
2011-10-17,0.08588747906426597,,
2011-10-18,0.10030918354944907,,
2011-10-19,0.08689929985042943,,
2011-10-20,0.09217450146197947,,
2011-10-21,0.0993638089001837,,
2011-10-24,0.09295605514999783,,
2011-10-25,0.08271242218052943,,
2011-10-26,0.07825208147315443,,
2011-10-28,0.05589538101683855,,
2011-10-31,0.061416008700680536,,
2011-11-01,0.0721338684754993,,
2011-11-02,0.07040552692579005,,
2011-11-03,0.07084402628271058,,
2011-11-04,0.0711808341907082,,
2011-11-08,0.07005474491604091,,
2011-11-09,0.08072162153446061,,
2011-11-11,0.08951345769996899,,
2011-11-14,0.09435368698131907,,
2011-11-15,0.11281227234769542,,
2011-11-16,0.11832010785270997,,
2011-11-17,0.13277867788920494,,
2011-11-18,0.13953116779515318,,
2011-11-21,0.15399472689234672,,
2011-11-22,0.14876985339097837,,
2011-11-23,0.16530913061095853,,
2011-11-24,0.15631783361997642,,
2011-11-25,0.15993715521660068,,
2011-11-28,0.14124559535869596,,
2011-11-29,0.1480649063957009,,
2011-11-30,0.14973787594118848,,
2011-12-01,0.1317519132553181,,
2011-12-02,0.10795480563789561,,
2011-12-05,0.10769610746153213,,
2011-12-07,0.10840370271841004,,
2011-12-08,0.12923916446813044,,
2011-12-09,0.14269844255165187,,
2011-12-12,0.15485278565028127,,
2011-12-13,0.15050119377389837,,
2011-12-14,0.15314676304217134,,
2011-12-15,0.1537468835486845,,
2011-12-16,0.16503919713783055,,
2011-12-19,0.17538477048787138,,
2011-12-20,0.18561621521423832,,
2011-12-21,0.16745099858553414,,
2011-12-22,0.15984529153875138,,
2011-12-23,0.1627912599613095,,
2011-12-26,0.15091524384106914,,
2011-12-27,0.16003358764384745,,
2011-12-28,0.17089965590318568,,
2011-12-29,0.17715092781688657,,
2011-12-30,0.1775053634215814,,
2012-01-02,0.17473604771301565,,
2012-01-03,0.15252698604727566,,
2012-01-04,0.15419016429011534,,
2012-01-05,0.1532761030921661,,
2012-01-06,0.15572811596894065,,
2012-01-07,0.15748090331014464,,
2012-01-09,0.15347500178547235,,
2012-01-10,0.1341414026920491,,
2012-01-11,0.12982590557506002,,
2012-01-12,0.13000337602206402,,
2012-01-13,0.1256612212315209,,
2012-01-16,0.1240575680774918,,
2012-01-17,0.11372179570997698,,
2012-01-18,0.11772128379329139,,
2012-01-19,0.10604553347390655,,
2012-01-20,0.09705988533902188,,
2012-01-23,0.09684969451553438,,
2012-01-24,0.08915571686845025,,
2012-01-25,0.0811737753856212,,
2012-01-27,0.07714211134994087,,
2012-01-30,0.09518857063396136,,
2012-01-31,0.07438232846437498,,
2012-02-01,0.06663741408178914,,
2012-02-02,0.059150651382654185,,
2012-02-03,0.04669093603800978,,
2012-02-06,0.03507683974656661,,
2012-02-07,0.045581333939628266,,
2012-02-08,0.042166250949483675,,
2012-02-09,0.03279115227866303,,
2012-02-10,0.03809897217553149,,
2012-02-13,0.03348996492814704,,
2012-02-14,0.0220311293374027,,
2012-02-15,0.002344290535353455,,
2012-02-16,0.0035915089214180185,,
2012-02-17,0.0013564100536280765,,
2012-02-21,-0.005294122439803317,,
2012-02-22,0.022691443470506,,
2012-02-23,0.029000378456945253,,
2012-02-24,0.031802692061550286,,
2012-02-27,0.05856151583700264,,
2012-02-28,0.037853817715888916,,
2012-02-29,0.03416558770240985,,
2012-03-01,0.03375479632114131,,
2012-03-02,0.035772731675495884,,
2012-03-03,0.03688383365625847,,
2012-03-05,0.05462784124750164,,
2012-03-06,0.06116736644113663,,
2012-03-07,0.0621154346700844,,
2012-03-09,0.0404133681596176,,
2012-03-12,0.037078768390538475,,
2012-03-13,0.028006214785426753,,
2012-03-14,0.020656601732077617,,
2012-03-15,0.03384777973512654,,
2012-03-16,0.04530276938940914,,
2012-03-19,0.056269795926253585,,
2012-03-20,0.05548999696100587,,
2012-03-21,0.0370036243390891,,
2012-03-22,0.061758377792164754,,
2012-03-23,0.053590669643734934,,
2012-03-26,0.07043486265027565,,
2012-03-27,0.06256102048694034,,
2012-03-28,0.07285852726889475,,
2012-03-29,0.07349104612583479,,
2012-03-30,0.05701397010276088,,
2012-04-02,0.05779115273681612,,
2012-04-03,0.05996939956648062,,
2012-04-04,0.07012401730740203,,
2012-04-09,0.08754392524043053,,
2012-04-10,0.0998428278720862,,
2012-04-11,0.10646017622515247,,
2012-04-12,0.09779002829704819,,
2012-04-13,0.10938616921393451,,
2012-04-16,0.09765728727248912,,
2012-04-17,0.0799103908469403,,
2012-04-18,0.09465798365024158,,
2012-04-19,0.08111800078862674,,
2012-04-20,0.07441429170035663,,
2012-04-23,0.09162582678839826,,
2012-04-24,0.10443431104394119,,
2012-04-25,0.11136307888410502,,
2012-04-26,0.11355788335515038,,
2012-04-27,0.11332994426832033,,
2012-04-28,0.10677163695230174,,
2012-04-30,0.09290900160859783,,
2012-05-02,0.08279295159602551,,
2012-05-03,0.09891541070603427,,
2012-05-04,0.10939810561863439,,
2012-05-07,0.11974542300771296,,
2012-05-08,0.12990965915130837,,
2012-05-09,0.11632113290056767,,
2012-05-10,0.12142395547265927,,
2012-05-11,0.12181752547002256,,
2012-05-14,0.11458830004560239,,
2012-05-15,0.11264695610542075,,
2012-05-16,0.11864215548432289,,
2012-05-17,0.1205942090070069,,
2012-05-18,0.10965872041670788,,
2012-05-21,0.11107225940722998,,
2012-05-22,0.11409267759058928,,
2012-05-23,0.11249358714346391,,
2012-05-24,0.10900339191968289,,
2012-05-25,0.101939094735789,,
2012-05-28,0.10575019966319166,,
2012-05-29,0.1006119332797123,,
2012-05-30,0.1015640120892527,,
2012-05-31,0.09804019705996936,,
2012-06-01,0.09919513010558301,,
2012-06-04,0.09594720226840536,,
2012-06-05,0.08458848014116382,,
2012-06-06,0.07993352962709399,,
2012-06-07,0.0743468125522403,,
2012-06-08,0.08128684480793202,,
2012-06-11,0.07864611545802558,,
2012-06-12,0.0799536519353432,,
2012-06-13,0.0758148742603807,,
2012-06-14,0.0767304774166776,,
2012-06-15,0.08189155975305418,,
2012-06-18,0.07915336335273448,,
2012-06-19,0.07054511102454197,,
2012-06-20,0.07011709826716717,,
2012-06-21,0.04414866003981466,,
2012-06-22,0.044822043076251594,,
2012-06-25,0.04565076226155984,,
2012-06-26,0.051093178683618734,,
2012-06-27,0.07281797746371876,,
2012-06-28,0.08588285382638272,,
2012-06-29,0.08279380837066475,,
2012-07-02,0.09530020001995121,,
2012-07-03,0.10132710184695515,,
2012-07-04,0.09666833780993056,,
2012-07-05,0.10274827489944649,,
2012-07-06,0.09634090749976376,,
2012-07-09,0.09566549913828815,,
2012-07-10,0.10644595031594695,,
2012-07-11,0.09824971993877418,,
2012-07-12,0.09440702921858168,,
2012-07-13,0.08156308051962402,,
2012-07-16,0.09401404936865476,,
2012-07-17,0.0983688683481565,,
2012-07-18,0.09822180296402916,,
2012-07-19,0.09573084069766258,,
2012-07-20,0.10576489198224615,,
2012-07-23,0.10153728989179112,,
2012-07-24,0.10246965800742125,,
2012-07-25,0.11970328747027059,,
2012-07-26,0.13162433047506972,,
2012-07-27,0.11560409796929771,,
2012-07-30,0.10642488687975737,,
2012-07-31,0.09444361095444564,,
2012-08-01,0.09413782082912392,,
2012-08-02,0.10414055398203659,,
2012-08-03,0.09602869283418225,,
2012-08-06,0.08477177014288007,,
2012-08-07,0.07005704529295553,,
2012-08-08,0.05420834452897416,,
2012-08-09,0.0424427844581623,,
2012-08-10,0.03685344086530007,,
2012-08-13,0.05602732732948423,,
2012-08-14,0.052491225833140254,,
2012-08-16,0.04347821257151696,,
2012-08-17,0.037380326845202205,,
2012-08-21,0.036953603464360274,,
2012-08-22,0.01565087759969286,,
2012-08-23,-0.00013709265731765008,,
2012-08-24,0.014752666101129686,,
2012-08-27,0.030056883163994685,,
2012-08-28,0.014812423751236148,,
2012-08-29,0.005016327037039803,,
2012-08-30,-0.014969416808320979,,
2012-08-31,0.02222332692168716,,
2012-09-03,0.04120205548525391,,
2012-09-04,0.04710180835450117,,
2012-09-05,0.05414973418009805,,
2012-09-06,0.06743622731392884,,
2012-09-07,0.0804477010022997,,
2012-09-08,0.08607480921421629,,
2012-09-10,0.0714903667207838,,
2012-09-11,0.048718556923341705,,
2012-09-12,0.04854118862157075,,
2012-09-13,0.05923273233686266,,
2012-09-14,0.061073252150663615,,
2012-09-17,0.050441064422537485,,
2012-09-18,0.04019481365409128,,
2012-09-20,0.063408786117235,,
2012-09-21,0.051823412613987596,,
2012-09-24,0.007099716079286722,,
2012-09-25,-0.002425243858295456,,
2012-09-26,-0.003786510509669938,,
2012-09-27,0.03338208880104676,,
2012-09-28,0.026967245409763585,,
2012-10-01,0.04722261645773518,,
2012-10-03,0.03670919563288533,,
2012-10-04,-0.004039357796592924,,
2012-10-05,-0.027035223629384042,,
2012-10-08,-0.02472950560195586,,
2012-10-09,0.008945371601846164,,
2012-10-10,0.03217897188646068,,
2012-10-11,0.025038658070697162,,
2012-10-12,0.06414877482739145,,
2012-10-15,0.06568010995308726,,
2012-10-16,0.0760052687284607,,
2012-10-17,0.07668327482411397,,
2012-10-18,0.05487790592363506,,
2012-10-19,0.07551925384931546,,
2012-10-22,0.06808077336870721,,
2012-10-23,0.06379360373579868,,
2012-10-25,0.06991816023751651,,
2012-10-26,0.0789911580482674,,
2012-10-29,0.07976843884797091,,
2012-10-30,0.11710890166303134,,
2012-10-31,0.1203957818182908,,
2012-11-01,0.10870917295064908,,
2012-11-02,0.10440324575097515,,
2012-11-05,0.10551962477204668,,
2012-11-06,0.1194227604968856,,
2012-11-07,0.12590256169300096,,
2012-11-08,0.11379992435634079,,
2012-11-09,0.1056488447973265,,
2012-11-12,0.12218508988383836,,
2012-11-13,0.10222283639798313,,
2012-11-15,0.09834653872619037,,
2012-11-16,0.07596495334613729,,
2012-11-19,0.060118409370711,,
2012-11-20,0.02981746030932997,,
2012-11-21,0.03606933768064291,,
2012-11-22,0.019141324714418317,,
2012-11-23,0.03519487103172292,,
2012-11-26,0.038135289593261845,,
2012-11-27,0.06919937895174666,,
2012-11-29,0.047390464083030714,,
2012-11-30,0.04291106546010548,,
2012-12-03,0.06846132350500644,,
2012-12-04,0.08981807720167434,,
2012-12-05,0.08425038039845534,,
2012-12-06,0.07589662097982641,,
2012-12-07,0.04794578757913359,,
2012-12-10,0.032354325427408126,,
2012-12-11,0.007379132009061706,,
2012-12-12,0.014610827012873306,,
2012-12-13,-0.001466122517930435,,
2012-12-14,-0.006274577916290713,,
2012-12-17,-0.03013648668211011,,
2012-12-18,-0.04159494797057994,,
2012-12-19,-0.06352755228506624,,
2012-12-20,-0.02158662363531416,,
2012-12-21,-0.011832224651674217,,
2012-12-24,-0.011778156796781625,,
2012-12-26,-0.0016474389027423264,,
2012-12-27,-0.012474378903977623,,
2012-12-28,-0.031112020209734803,,
2012-12-31,-0.039788081396674446,,
2013-01-01,-0.04741275874700679,,
2013-01-02,-0.05030154851238322,,
2013-01-03,-0.02002727740642074,,
2013-01-04,-0.02379230959088119,,
2013-01-07,-0.02504734671322506,,
2013-01-08,-0.022773889039897632,,
2013-01-09,-0.02044517865712825,,
2013-01-10,-0.022911474196279924,,
2013-01-11,-0.004023070670637452,,
2013-01-14,-0.010858394880696398,,
2013-01-15,-0.010878011603280502,,
2013-01-16,0.008212262429037276,,
2013-01-17,0.0020051465823824888,,
2013-01-18,0.01999383015289502,,
2013-01-21,0.014533676099084847,,
2013-01-22,0.028643069539074917,,
2013-01-23,0.030231322098389413,,
2013-01-24,0.03281950310692272,,
2013-01-25,0.05279104677912816,,
2013-01-28,0.06406168754304487,,
2013-01-29,0.07692033142533927,,
2013-01-30,0.054074960628992974,,
2013-01-31,0.08741270907735554,,
2013-02-01,0.10403576401228687,,
2013-02-04,0.11187862412861471,,
2013-02-05,0.12707180337326318,,
2013-02-06,0.13987436643199413,,
2013-02-07,0.12636219123699322,,
2013-02-08,0.13190356544050963,,
2013-02-11,0.14609519552810402,,
2013-02-12,0.14675481415983205,,
2013-02-13,0.14241205506864874,,
2013-02-14,0.15165711509726232,,
2013-02-15,0.17405828789186728,,
2013-02-18,0.17553987616699418,,
2013-02-19,0.1919658047249433,,
2013-02-20,0.20273348204255326,,
2013-02-21,0.18309163505932746,,
2013-02-22,0.18011086455593595,,
2013-02-25,0.16741015191453656,,
2013-02-26,0.14011434054575456,,
2013-02-27,0.16071684382705254,,
2013-02-28,0.16983944355785963,,
2013-03-01,0.16584059828261122,,
2013-03-04,0.1576827009195283,,
2013-03-05,0.1599879065798646,,
2013-03-06,0.14076991471117317,,
2013-03-07,0.1300650419465894,,
2013-03-08,0.1291736735640927,,
2013-03-11,0.15606024804832885,,
2013-03-12,0.1680242006006889,,
2013-03-13,0.17958144619826233,,
2013-03-14,0.17686600471824865,,
2013-03-15,0.1629901600424375,,
2013-03-18,0.15630207420842246,,
2013-03-19,0.14950711327003985,,
2013-03-20,0.16064147228897863,,
2013-03-21,0.17844162843986666,,
2013-03-22,0.14958608358073056,,
2013-03-25,0.15901556655264248,,
2013-03-26,0.14298354575331884,,
2013-03-28,0.15201959758021655,,
2013-04-01,0.13812490243447306,,
2013-04-02,0.13112819862105507,,
2013-04-03,0.16446793062669607,,
2013-04-04,0.16301236316944667,,
2013-04-05,0.17079850553752896,,
2013-04-08,0.17124032009266554,,
2013-04-09,0.14808060619046826,,
2013-04-10,0.14783808869153958,,
2013-04-11,0.15103025488639754,,
2013-04-12,0.16432986023409346,,
2013-04-15,0.1443632337077776,,
2013-04-16,0.13679773850576793,,
2013-04-17,0.15463405625463134,,
2013-04-18,0.14484975215263374,,
2013-04-22,0.14922032923843265,,
2013-04-23,0.14227444878765416,,
2013-04-25,0.11852393888382973,,
2013-04-26,0.1220031990378776,,
2013-04-29,0.1223467654069661,,
2013-04-30,0.12963170732785523,,
2013-05-02,0.134429355580582,,
2013-05-03,0.1431189608345611,,
2013-05-06,0.15767038874526396,,
2013-05-07,0.15528975559517044,,
2013-05-08,0.14787797232854527,,
2013-05-09,0.1415749431168425,,
2013-05-10,0.13659131130131907,,
2013-05-11,0.12922678370053742,,
2013-05-13,0.13752281881923945,,
2013-05-14,0.1304284871264929,,
2013-05-15,0.12208844446015799,,
2013-05-16,0.13154835417715494,,
2013-05-17,0.13452543479474688,,
2013-05-20,0.12283874257664262,,
2013-05-21,0.12899586529091311,,
2013-05-22,0.14705560358122383,,
2013-05-23,0.15471573314848874,,
2013-05-24,0.1494673360077703,,
2013-05-27,0.14499685645605442,,
2013-05-28,0.15084751911337313,,
2013-05-29,0.15595093683682526,,
2013-05-30,0.14909380896232127,,
2013-05-31,0.17804513294702362,,
2013-06-03,0.1809530241914501,,
2013-06-04,0.20262579546255344,0.2580233177430289,
2013-06-05,0.19776164133467744,0.23175189788108663,
2013-06-06,0.2027552123834797,0.23607542180557806,
2013-06-07,0.2117825035159071,0.2544690815176329,
2013-06-10,0.212435003934768,0.25995946871847075,
2013-06-11,0.2299902918299086,0.24890206198501375,
2013-06-12,0.22579462670291628,0.23803685716090328,
2013-06-13,0.22132081778620094,0.2391523319146267,
2013-06-14,0.21110132549622795,0.24833650420231668,
2013-06-17,0.2174213279537327,0.26101740930995887,
2013-06-18,0.22827593629501397,0.2837726622603727,
2013-06-19,0.22655610792007885,0.2902604015627748,
2013-06-20,0.22304032637226912,0.29119667475949407,
2013-06-21,0.20790181196745428,0.28158530540379423,
2013-06-24,0.19201885676991615,0.2681755106820609,
2013-06-25,0.1840194870446652,0.2682419844292935,
2013-06-26,0.18654591281358646,0.2650567579176595,
2013-06-27,0.1807441823495184,0.26609432917543074,
2013-06-28,0.17099310177976457,0.25762143002726545,
2013-07-01,0.1790072856574514,0.2626971560117266,
2013-07-02,0.18076590362565748,0.2831284887644421,
2013-07-03,0.19374938378824824,0.2782808774313892,
2013-07-04,0.19172615209412203,0.291691862843632,
2013-07-05,0.18823601345051122,0.28031545067510444,
2013-07-08,0.20080463596604758,0.2863855970496929,
2013-07-09,0.19489706310032684,0.2813420929266013,
2013-07-10,0.20334203593004085,0.2922989920145769,
2013-07-11,0.1955410999939018,0.27788156244194173,
2013-07-12,0.1974742480427929,0.2856565343333808,
2013-07-15,0.20561165370245504,0.3060701584196026,
2013-07-16,0.21265751862988447,0.31758998730842025,
2013-07-17,0.20518436280881325,0.3140185758441363,
2013-07-18,0.198464416912971,0.30813735673679754,
2013-07-19,0.20206934268726084,0.30994038521963096,
2013-07-22,0.19510924114937378,0.3108066251110868,
2013-07-23,0.18986049893014867,0.30421033098654116,
2013-07-24,0.19083523313790596,0.3053421476825404,
2013-07-25,0.18466836473930348,0.30742603687957426,
2013-07-26,0.17727364485658215,0.3129936572506996,
2013-07-29,0.1611922821340317,0.2983529356472815,
2013-07-30,0.14484605203134282,0.286071021432312,
2013-07-31,0.14043493812727825,0.2778206692324279,
2013-08-01,0.15065041178851613,0.27631151456220593,
2013-08-02,0.15400799522722264,0.27193632589202976,
2013-08-05,0.14573379543838083,0.27030670361069864,
2013-08-06,0.14069133303502834,0.2724873078727891,
2013-08-07,0.13774105842011375,0.27205270503301493,
2013-08-08,0.14312093105475387,0.2710984059128623,
2013-08-12,0.1624868023401449,0.29219816315945635,
2013-08-13,0.16353390018276825,0.30067325268174716,
2013-08-14,0.16060642266593583,0.3053965981734841,
2013-08-16,0.16905915902865631,0.31459730252980134,
2013-08-19,0.16319488654351066,0.30634448250841273,
2013-08-20,0.14724766769701714,0.29245220925843585,
2013-08-21,0.14965467291493295,0.2930283118764865,
2013-08-22,0.13502512570293623,0.28187478035818636,
2013-08-23,0.14209336822157403,0.2899946587468717,
2013-08-26,0.1458216153145928,0.2882459162642774,
2013-08-27,0.1499889677165791,0.28656198762059604,
2013-08-28,0.13830176778217018,0.27622265065671203,
2013-08-29,0.1364270327818563,0.2797709891994047,
2013-08-30,0.1378871433215797,0.27301407427058255,
2013-09-02,0.13403995036315552,0.27420777585198797,
2013-09-03,0.15023554993747656,0.2877979135192801,
2013-09-04,0.1460501301015742,0.28831322944967364,
2013-09-05,0.13701478958785596,0.2911741780209606,
2013-09-06,0.13495897308653526,0.2794145068434968,
2013-09-10,0.12402571182281297,0.2815957119436461,
2013-09-11,0.11895110910536233,0.28308615572696816,
2013-09-12,0.1259225567542619,0.2852469308632628,
2013-09-13,0.11470406673169853,0.27611072480055676,
2013-09-16,0.11007781632754376,0.2720101337733599,
2013-09-17,0.10936808324034097,0.2725193460792106,
2013-09-18,0.10948215644759429,0.27879625717734324,
2013-09-19,0.08945259415052709,0.26659926080172736,
2013-09-20,0.10795569045876663,0.274561125019513,
2013-09-23,0.13773330575274434,0.28845209126009164,
2013-09-24,0.14024825146250586,0.2924721974606115,
2013-09-25,0.14006443807912783,0.29465313369247825,
2013-09-26,0.15292170144538964,0.2899778590856248,
2013-09-27,0.16680119248535652,0.2996032703788576,
2013-09-30,0.17622897168209695,0.3099305009828577,
2013-10-01,0.1607612993409684,0.29847510384739995,
2013-10-03,0.14296587576465103,0.28466289017944746,
2013-10-04,0.14155267599208532,0.2922800486979702,
2013-10-07,0.13829979433820427,0.301378672643169,
2013-10-08,0.13377356532370888,0.3014228431785759,
2013-10-09,0.15332611563532006,0.30195716084627167,
